0.31	0
0.45	0
0.78	1
0.72	0
0.98	1
0.98	1
0.88	1
0.67	0
0.95	1
0.44	1
0.80	1
0.78	0
0.95	1
0.53	0
0.64	1
0.89	0
0.29	0
0.42	1
0.29	0
0.65	0
0.71	1
0.29	1
0.83	0
0.95	1
0.68	1
0.72	0
0.96	0
0.67	0
0.44	1
0.95	1
0.79	1
0.90	1
0.95	0
0.63	1
0.68	0
0.74	1
0.85	0
0.78	1
0.29	0
0.28	0
0.77	1
0.33	1
0.62	1
0.45	0
0.30	0
0.78	0
0.83	0
0.93	0
0.72	0
0.28	0
0.80	1
0.58	1
0.82	0
0.78	1
0.28	1
0.63	1
0.60	0
0.73	1
0.64	1
0.95	1
0.66	1
0.88	0
0.28	0
0.91	0
0.39	0
0.63	0
0.28	0
0.51	0
0.70	0
0.28	0
0.46	0
0.78	1
0.60	1
0.31	0
0.62	1
0.82	1
0.62	1
0.29	0
0.76	1
0.60	1
0.93	1
0.46	0
0.28	0
0.73	1
0.28	0
0.29	0
0.59	1
0.95	1
0.29	0
0.63	1
0.65	0
0.94	1
0.98	1
0.89	1
0.71	1
0.53	1
0.64	1
0.61	1
0.29	0
0.88	0
0.90	1
0.98	1
0.90	1
0.72	1
0.47	0
0.34	0
0.80	1
0.78	0
0.42	1
0.90	1
0.94	1
0.82	1
0.59	1
0.56	0
0.28	0
0.67	0
0.47	0
0.95	1
0.61	1
0.98	1
0.90	1
0.63	1
0.54	0
0.63	1
0.76	1
0.62	0
0.53	1
0.28	0
0.98	1
0.83	1
0.77	1
0.77	1
0.70	0
0.77	1
0.72	1
0.89	0
0.66	1
0.90	1
0.67	1
0.77	1
0.46	0
0.28	0
0.64	1
0.79	1
0.70	1
0.88	1
0.63	1
0.36	0
0.62	1
0.68	0
0.60	1
0.50	1
0.59	1
0.95	1
0.53	0
0.98	1
0.79	1
0.72	1
0.95	1
0.96	1
0.95	1
0.60	0
0.88	1
0.60	1
0.34	0
0.64	1
0.60	0
0.69	0
0.47	0
0.28	0
0.69	0
0.76	1
0.96	1
0.45	1
0.67	1
0.98	1
0.60	1
0.96	1
0.42	1
0.78	1
0.79	1
0.97	1
0.63	1
0.29	1
0.79	1
0.66	1
0.89	0
0.42	0
0.68	0
0.29	0
0.78	1
0.59	0
0.34	0
0.29	0
0.31	0
0.30	0
0.47	1
0.63	0
0.28	0
0.95	1
0.73	0
0.45	0
0.93	1
0.82	0
0.93	0
0.94	1
0.29	1
0.72	1
0.30	0
0.28	0
0.51	0
0.76	1
0.95	1
0.30	0
0.73	1
0.98	1
0.51	0
0.50	1
0.95	1
0.98	1
0.51	0
0.78	1
0.88	0
0.42	0
0.47	0
0.92	0
0.51	0
0.68	1
0.68	1
0.97	0
0.63	0
0.78	1
0.95	1
0.60	0
0.77	0
0.95	0
0.36	0
0.49	1
0.64	0
0.95	1
0.49	1
0.78	1
0.28	0
0.92	1
0.35	0
0.68	0
0.47	0
0.94	1
0.54	0
0.95	1
0.28	0
0.48	0
0.39	0
0.70	1
0.59	0
0.63	0
0.28	1
0.93	1
0.63	1
0.72	1
0.38	1
0.79	1
0.76	1
0.60	1
0.64	1
0.83	1
0.45	0
0.62	0
0.64	1
0.78	1
0.29	0
0.60	0
0.68	1
0.60	0
0.93	1
0.28	0
0.51	0
0.78	1
0.90	1
0.95	1
0.30	0
0.95	1
0.45	1
0.93	1
0.29	0
0.70	0
0.28	0
0.67	0
0.90	1
0.28	0
0.31	0
0.51	0
0.86	1
0.29	0
0.80	1
